Report Date,Health District,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths
09/01/2020,Southside,Not Reported,4,0,0
09/01/2020,Chesapeake,Female,2104,169,22
09/01/2020,Richmond,Female,1946,185,18
09/01/2020,Roanoke,Male,560,19,6
09/01/2020,Fairfax,Not Reported,130,2,5
09/01/2020,Thomas Jefferson,Female,1324,88,26
09/01/2020,Chesapeake,Not Reported,5,0,0
09/01/2020,Cumberland Plateau,Male,258,25,3
09/01/2020,Eastern Shore,Female,732,69,26
09/01/2020,Lord Fairfax,Not Reported,12,0,0
09/01/2020,Rappahannock,Not Reported,8,1,0
09/01/2020,Central Shenandoah,Not Reported,4,0,0
09/01/2020,Peninsula,Male,1811,94,24
09/01/2020,Norfolk,Male,2100,141,30
09/01/2020,Alexandria,Female,1760,136,34
09/01/2020,Lenowisco,Male,356,33,8
09/01/2020,Pittsylvania-Danville,Female,754,57,12
09/01/2020,New River,Not Reported,8,0,0
09/01/2020,Chesterfield,Not Reported,130,0,1
09/01/2020,Loudoun,Male,2948,217,46
09/01/2020,Rappahannock Rapidan,Female,1182,63,12
09/01/2020,Piedmont,Female,549,51,10
09/01/2020,Richmond,Male,1926,187,29
09/01/2020,Crater,Female,1385,134,39
09/01/2020,Portsmouth,Female,1234,98,20
09/01/2020,Arlington,Not Reported,6,0,0
09/01/2020,Mount Rogers,Not Reported,9,0,1
09/01/2020,Thomas Jefferson,Not Reported,3,0,0
09/01/2020,Three Rivers,Not Reported,23,0,0
09/01/2020,Hampton,Male,696,36,7
09/01/2020,Alleghany,Male,557,37,9
09/01/2020,Roanoke,Female,628,26,9
09/01/2020,Loudoun,Not Reported,43,0,0
09/01/2020,Fairfax,Female,9532,891,279
09/01/2020,Western Tidewater,Male,1296,90,47
09/01/2020,Peninsula,Not Reported,16,0,0
09/01/2020,New River,Male,668,26,6
09/01/2020,Central Shenandoah,Male,1591,114,32
09/01/2020,Southside,Male,538,37,17
09/01/2020,Chesterfield,Male,2638,159,58
09/01/2020,Arlington,Female,1759,204,65
09/01/2020,Rappahannock,Male,2104,184,37
09/01/2020,Central Virginia,Male,1102,44,11
09/01/2020,Alleghany,Not Reported,6,0,0
09/01/2020,Henrico,Male,2186,194,90
09/01/2020,Thomas Jefferson,Male,1163,82,24
09/01/2020,Lord Fairfax,Male,1329,131,45
09/01/2020,Three Rivers,Male,748,46,9
09/01/2020,Richmond,Not Reported,48,2,2
09/01/2020,Pittsylvania-Danville,Male,629,41,8
09/01/2020,Portsmouth,Not Reported,3,0,0
09/01/2020,Norfolk,Not Reported,2,0,0
09/01/2020,Chesapeake,Male,1702,159,26
09/01/2020,Chickahominy,Female,709,70,22
09/01/2020,Prince William,Male,6475,588,122
09/01/2020,Eastern Shore,Not Reported,9,0,0
09/01/2020,Eastern Shore,Male,711,67,22
09/01/2020,Rappahannock Rapidan,Male,1106,89,18
09/01/2020,Henrico,Not Reported,26,0,0
09/01/2020,Cumberland Plateau,Female,292,23,5
09/01/2020,West Piedmont,Male,696,89,20
09/01/2020,Hampton,Not Reported,5,0,0
09/01/2020,Alexandria,Not Reported,10,0,0
09/01/2020,Western Tidewater,Not Reported,5,0,0
09/01/2020,Cumberland Plateau,Not Reported,0,0,0
09/01/2020,Virginia Beach,Male,2736,155,36
09/01/2020,Alleghany,Female,619,24,13
09/01/2020,Lenowisco,Female,361,29,4
09/01/2020,Virginia Beach,Not Reported,15,0,0
09/01/2020,Western Tidewater,Female,1590,71,44
09/01/2020,Mount Rogers,Male,895,113,45
09/01/2020,Lord Fairfax,Female,1477,115,49
09/01/2020,Piedmont,Not Reported,5,0,0
09/01/2020,Alexandria,Male,1625,162,28
09/01/2020,Pittsylvania-Danville,Not Reported,8,0,0
09/01/2020,West Piedmont,Not Reported,7,0,0
09/01/2020,Loudoun,Female,3017,170,72
09/01/2020,Hampton,Female,861,18,9
09/01/2020,Henrico,Female,2439,187,103
